Date,Price
2023-09-06,4465.4799804688
2023-09-07,4451.1401367188
2023-09-08,4457.490234375
2023-09-11,4487.4599609375
2023-09-12,4461.8999023438
2023-09-13,4467.4399414062
2023-09-14,4505.1000976562
2023-09-15,4450.3198242188
2023-09-18,4453.5297851562
2023-09-19,4443.9501953125
2023-09-20,4402.2001953125
2023-09-21,4330.0
2023-09-22,4320.0600585938
2023-09-25,4337.4399414062
2023-09-26,4273.5297851562
2023-09-27,4274.509765625
2023-09-28,4299.7001953125
2023-09-29,4288.0498046875
2023-10-02,4288.3901367188
2023-10-03,4229.4501953125
2023-10-04,4263.75
2023-10-05,4258.1899414062
2023-10-06,4308.5
2023-10-09,4335.66015625
2023-10-10,4358.240234375
2023-10-11,4376.9501953125
2023-10-12,4349.6098632812
2023-10-13,4327.7797851562
2023-10-16,4373.6298828125
2023-10-17,4373.2001953125
2023-10-18,4314.6000976562
2023-10-19,4278.0
2023-10-20,4224.16015625
2023-10-23,4217.0400390625
2023-10-24,4247.6801757812
2023-10-25,4186.7700195312
2023-10-26,4137.2299804688
2023-10-27,4117.3701171875
2023-10-30,4166.8198242188
2023-10-31,4193.7998046875
2023-11-01,4237.8598632812
2023-11-02,4317.7797851562
2023-11-03,4358.33984375
2023-11-06,4365.9799804688
2023-11-07,4378.3798828125
2023-11-08,4382.7797851562
2023-11-09,4347.3500976562
2023-11-10,4415.240234375
2023-11-13,4411.5498046875
2023-11-14,4495.7001953125
2023-11-15,4502.8798828125
2023-11-16,4508.240234375
2023-11-17,4514.0200195312
2023-11-20,4547.3798828125
2023-11-21,4538.1899414062
2023-11-22,4556.6201171875
2023-11-24,4559.33984375
2023-11-27,4550.4301757812
2023-11-28,4554.8901367188
2023-11-29,4550.580078125
2023-11-30,4567.7998046875
2023-12-01,4594.6298828125
2023-12-04,4569.7797851562
2023-12-05,4567.1801757812
2023-12-06,4549.33984375
2023-12-07,4585.58984375
2023-12-08,4604.3701171875
2023-12-11,4622.4399414062
2023-12-12,4643.7001953125
2023-12-13,4707.08984375
2023-12-14,4719.5498046875
2023-12-15,4719.1899414062
2023-12-18,4740.5600585938
2023-12-19,4768.3701171875
2023-12-20,4698.3500976562
2023-12-21,4746.75
2023-12-22,4754.6298828125
2023-12-26,4774.75
2023-12-27,4781.580078125
2023-12-28,4783.3500976562
2023-12-29,4769.830078125
2024-01-02,4742.830078125
2024-01-03,4704.8100585938
2024-01-04,4688.6801757812
2024-01-05,4697.240234375
