Dödsorsaksstatistik, Antal döda, Ålder: 0-85+
År;Diagnos;Kön;Stockholms län;Uppsala län;Södermanlands län;Östergötlands län;Jönköpings län;Kronobergs län;Kalmar län;Gotlands län;Blekinge län;Skåne län;Hallands län;Västra Götalands län;Värmlands län;Örebro län;Västmanlands län;Dalarnas län;Gävleborgs län;Västernorrlands län;Jämtlands län;Västerbottens län;Norrbottens län
2010;X60­X84 Avsiktligt självdestruktiv handling (självmord);Kvinnor;62;13;8;9;7;7;7;1;5;41;11;52;10;13;11;6;12;6;8;5;8
2009;Samtliga dödsorsaker;Män;7209;1297;1451;2041;1634;906;1343;301;875;5474;1379;7243;1676;1562;1264;1568;1610;1486;761;1326;1343
2009;Samtliga dödsorsaker;Kvinnor;7976;1367;1508;2261;1695;916;1453;292;924;6053;1392;7629;1677;1621;1281;1685;1733;1595;758;1304;1303
2009;X60­X84 Avsiktligt självdestruktiv handling (självmord);Män;145;31;27;41;29;23;20;5;14;115;34;157;47;23;25;25;38;24;13;23;28
2009;X60­X84 Avsiktligt självdestruktiv handling (självmord);Kvinnor;77;16;14;9;15;2;10;2;6;57;9;51;9;8;10;11;20;7;3;7;10
2008;Samtliga dödsorsaker;Män;7356;1276;1440;2077;1675;912;1379;292;863;5749;1323;7387;1588;1422;1242;1530;1666;1489;730;1246;1473
2008;Samtliga dödsorsaker;Kvinnor;8224;1361;1566;2307;1732;946;1447;323;877;6183;1388;8011;1723;1604;1399;1648;1723;1481;748;1342;1393
2008;X60­X84 Avsiktligt självdestruktiv handling (självmord);Män;137;23;26;35;22;18;31;10;23;125;33;149;34;19;23;30;39;21;20;18;19
2008;X60­X84 Avsiktligt självdestruktiv handling (självmord);Kvinnor;68;10;10;12;12;7;8;­­;2;52;11;50;11;14;7;9;7;5;5;7;8
2007;Samtliga dödsorsaker;Män;7249;1324;1341;2067;1680;889;1425;276;831;5779;1367;7430;1525;1451;1250;1569;1612;1526;781;1233;1416
2007;Samtliga dödsorsaker;Kvinnor;8566;1416;1543;2291;1817;964;1411;303;869;6175;1415;7964;1651;1552;1411;1665;1819;1503;786;1298;1375
2007;X60­X84 Avsiktligt självdestruktiv handling (självmord);Män;135;26;18;34;36;13;19;6;19;130;24;124;32;32;20;33;30;20;13;18;19
2007;X60­X84 Avsiktligt självdestruktiv handling (självmord);Kvinnor;73;11;8;17;4;4;8;2;7;50;12;54;11;11;9;6;10;11;3;7;7
2006;Samtliga dödsorsaker;Män;7456;1275;1382;1954;1715;921;1426;309;807;5584;1338;7496;1646;1478;1308;1556;1688;1497;789;1242;1365
2006;Samtliga dödsorsaker;Kvinnor;8235;1314;1461;2268;1893;952;1433;318;909;6060;1368;7831;1667;1574;1331;1674;1733;1542;795;1311;1369
2006;X60­X84 Avsiktligt självdestruktiv handling (självmord);Män;150;20;25;42;36;8;28;6;20;114;22;133;34;21;24;17;34;29;12;19;23
2006;X60­X84 Avsiktligt självdestruktiv handling (självmord);Kvinnor;83;14;12;13;18;10;5;1;2;58;8;67;12;14;9;14;8;10;8;6;7
2005;Samtliga dödsorsaker;Män;7351;1269;1371;2106;1648;967;1432;321;831;5619;1410;7598;1643;1534;1353;1665;1638;1493;809;1287;1482
2005;Samtliga dödsorsaker;Kvinnor;8184;1356;1410;2271;1770;947;1438;300;851;6230;1344;7788;1654;1569;1322;1673;1845;1591;798;1282;1323
2005;X60­X84 Avsiktligt självdestruktiv handling (självmord);Män;157;24;23;27;33;30;18;7;18;106;20;163;25;26;23;28;25;22;14;27;19
2005;X60­X84 Avsiktligt självdestruktiv handling (självmord);Kvinnor;80;10;12;15;10;4;15;2;7;42;18;66;13;15;10;10;13;14;11;9;8
2004;Samtliga dödsorsaker;Män;7367;1291;1367;2061;1660;892;1417;328;757;5571;1322;7414;1584;1588;1274;1624;1618;1487;858;1261;1453
2004;Samtliga dödsorsaker;Kvinnor;8356;1342;1416;2234;1771;905;1446;330;848;6150;1310;7793;1636;1597;1329;1695;1748;1525;798;1301;1361
2004;X60­X84 Avsiktligt självdestruktiv handling (självmord);Män;133;37;23;44;26;15;30;8;7;107;23;166;32;24;21;25;36;22;15;18;21
2004;X60­X84 Avsiktligt självdestruktiv handling (självmord);Kvinnor;72;18;4;16;8;3;6;2;4;48;11;65;9;6;9;7;7;5;5;8;8
2003;Samtliga dödsorsaker;Män;7553;1246;1426;2179;1750;963;1412;303;886;5625;1310;7594;1677;1552;1260;1682;1756;1536;824;1369;1459
2003;Samtliga dödsorsaker;Kvinnor;8405;1385;1373;2223;1769;955;1466;297;851;6248;1398;8006;1695;1659;1293;1740;1804;1638;784;1276;1376
2003;X60­X84 Avsiktligt självdestruktiv handling (självmord);Män;145;29;17;43;29;18;21;7;12;95;30;114;30;21;21;28;25;24;17;21;28
2003;X60­X84 Avsiktligt självdestruktiv handling (självmord);Kvinnor;78;18;8;21;14;6;8;1;6;47;12;44;12;5;7;10;6;12;7;5;6
2002;Samtliga dödsorsaker;Män;7431;1325;1437;2156;1800;933;1463;325;877;5791;1376;7718;1671;1604;1338;1713;1721;1521;797;1388;1428
2002;Samtliga dödsorsaker;Kvinnor;8655;1390;1455;2318;1822;931;1546;330;871;6423;1406;8259;1692;1750;1419;1858;1909;1635;792;1368;1429
2002;X60­X84 Avsiktligt självdestruktiv handling (självmord);Män;157;28;17;36;32;22;31;6;22;110;24;143;25;32;23;34;42;23;11;20;24
2002;X60­X84 Avsiktligt självdestruktiv handling (självmord);Kvinnor;78;9;9;24;8;11;7;3;4;40;8;44;12;13;13;11;10;4;2;4;4
2001;Samtliga dödsorsaker;Män;7313;1316;1480;2155;1788;973;1474;300;822;5788;1334;7738;1685;1548;1226;1707;1664;1566;853;1312;1424
2001;Samtliga dödsorsaker;Kvinnor;8475;1369;1488;2236;1883;1019;1479;352;857;6406;1329;8140;1708;1700;1397;1736;1707;1636;829;1286;1307
2001;X60­X84 Avsiktligt självdestruktiv handling (självmord);Män;146;25;24;47;41;17;24;8;15;102;25;138;34;26;18;37;32;23;16;15;20
2001;X60­X84 Avsiktligt självdestruktiv handling (självmord);Kvinnor;85;17;10;18;11;7;6;4;7;38;17;68;14;15;8;8;6;10;3;6;5
2000;Samtliga dödsorsaker;Män;7528;1263;1401;2110;1807;972;1422;324;868;5825;1445;7533;1753;1563;1275;1615;1773;1537;851;1380;1464
2000;Samtliga dödsorsaker;Kvinnor;8297;1295;1455;2291;1827;991;1459;339;861;6252;1314;7997;1754;1697;1370;1792;1794;1618;794;1290;1319
2000;X60­X84 Avsiktligt självdestruktiv handling (självmord);Män;152;26;16;41;21;19;20;9;12;94;31;133;36;24;21;35;29;23;19;18;23
2000;X60­X84 Avsiktligt självdestruktiv handling (självmord);Kvinnor;76;10;4;16;13;2;5;5;4;39;11;67;13;8;13;10;7;5;6;4;10
1999;Samtliga dödsorsaker;Män;7532;1270;1441;2216;1799;979;1458;348;875;5946;1396;7874;1785;1640;1312;1731;1806;1618;898;1359;1498
1999;Samtliga dödsorsaker;Kvinnor;8541;1301;1524;2276;1842;939;1482;292;918;6355;1339;8113;1777;1687;1310;1695;1752;1563;848;1346;1394
1999;X60­X84 Avsiktligt självdestruktiv handling (självmord);Män;138;37;17;34;26;20;29;8;21;99;32;133;30;22;26;34;40;33;20;25;37
1999;X60­X84 Avsiktligt självdestruktiv handling (självmord);Kvinnor;94;11;8;13;18;5;4;3;2;53;9;50;12;9;8;8;11;11;5;14;10
1998;Samtliga dödsorsaker;Män;7601;1308;1425;2140;1825;1019;1514;323;888;5938;1370;7842;1735;1617;1303;1799;1805;1657;903;1345;1483
1998;Samtliga dödsorsaker;Kvinnor;8199;1336;1419;2118;1819;906;1428;322;865;6120;1255;7975;1654;1625;1289;1687;1820;1591;811;1277;1272
1998;X60­X84 Avsiktligt självdestruktiv handling (självmord);Män;174;37;19;52;27;8;32;5;18;108;29;121;39;22;21;38;42;23;14;18;33
1998;X60­X84 Avsiktligt självdestruktiv handling (självmord);Kvinnor;96;11;11;20;11;6;8;1;5;34;17;67;5;9;16;6;6;4;5;5;6
1997;Samtliga dödsorsaker;Män;7433;1254;1425;2208;1762;949;1535;308;947;6001;1397;7957;1754;1662;1319;1812;1668;1646;868;1398;1416
1997;Samtliga dödsorsaker;Kvinnor;8325;1260;1391;2205;1748;893;1376;323;872;5987;1302;7882;1774;1602;1230;1771;1731;1636;836;1207;1278
1997;X60­X84 Avsiktligt självdestruktiv handling (självmord);Män;155;27;18;35;29;14;25;5;14;112;22;156;34;30;33;41;27;13;12;20;34
1997;X60­X84 Avsiktligt självdestruktiv handling (självmord);Kvinnor;80;16;8;10;12;3;10;1;3;43;12;65;13;9;10;12;8;8;4;8;9
Socialstyrelsens statistikdatabas 2018-01-23
